X,Y,OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1267291.0853585,227730.578141257,3448,518495,16,2764,157.5,30,BKR-797,BKR,2ND AVE 0230 BLOCK SW SIDE ( 152) 152 FT NW/O BELL ST                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,2009/03/13 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,FAIR,2009/07/20 00:00:00+00,SW,SDOT,INSVC,DISTRICT7, ,N,,-122.346215831539,47.6142586726741
1272624.92350796,227612.216797128,3449,518900,16,9233,46,31,BKR-1142,BKR,BELMONT AVE 0150 BLOCK W SIDE (  24) 24 FT N/O E PIKE ST                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/20 00:00:00+00,W,SDOT,INSVC,DISTRICT3, ,N,,-122.324585298247,47.6142196403288
1273545.89784491,224818.637210265,3450,518749,16,9438,52,-29,BKR-116,BKR,BROADWAY 0059 BLOCK E SIDE (  52) 52 FT N/O MINOR AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,2006/10/20 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,2009/07/17 00:00:00+00,E,SDOT,INSVC,DISTRICT3, ,N,,-122.320633156652,47.6066113629019
1265554.53041272,228445.116765976,3451,757342,16,13514,272,27,BKR-4279,BKR,WESTERN AVE 0280 BLOCK SW SIDE ( 253) 10 FT SE/O BROAD ST                                                                                                                                                                                                      ,ONST,6,Y,GALV,AC,, , , , , ,,SW, , ,DISTRICT7, ,N,,-122.353312290604,47.616123387953
1268006.89207923,228388.985181928,3452,518919,16,7246,71,28,BKR-2019,BKR,5TH AVE 0230 BLOCK SW SIDE (  63) 63 FT NW/O BELL ST                                                                                                                                                                                                           ,SGL,2,N,GALV,BR,,STBS,NONE,OTHER, ,GOOD,2009/07/17 00:00:00+00,SW,SDOT,INSVC,DISTRICT7, ,N,,-122.343366628431,47.6161018797921
1265583.94750075,253125.376055256,3453,675749,16,10742,177,-31,BKR-3937,BKR,GREENWOOD AVE N 0750 BLOCK E SIDE ( 164) 76 FT S/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,2017/08/01 00:00:00+00,SUFMT, , ,BKR-INVRU,GOOD,2017/08/01 00:00:00+00,E, ,INSVC,DISTRICT6, ,N,,-122.355171749915,47.6837723658768
1264982.01770814,231509.698401123,3454,517280,16,11761,205,-32,BKR-1990,BKR,MERCER ST 0009 BLOCK S SIDE ( 183) 96 FT W/O 1ST AVE N                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/22 00:00:00+00,S,SDOT,INSVC,DISTRICT7, ,N,,-122.355878904528,47.6244922391306
1258106.64227709,247801.9766258,3455,518162,16,19234,84,-34,BKR-2365,BKR,NW MARKET ST 0220 BLOCK N SIDE (  67) 67 FT W/O LEARY AVE NW                                                                                                                                                                                                   ,SGL,4,N,GALV,PCC,,SUFMT,NONE,BKR-CORA,BKR-W2704,GOOD,2009/07/31 00:00:00+00,N,SDOT,INSVC,DISTRICT6, ,N,,-122.385086059436,47.6687719330145
1265479.19172464,251213.524469301,3456,553219,16,10734,238,31,BKR-2938,BKR,GREENWOOD AVE N 0671 BLOCK W SIDE ( 225) 225 FT N/O PHINNEY AVE N                                                                                                                                                                                              ,SGL,2,N,GALV,PCC,2010/05/18 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2010/05/18 00:00:00+00,W,SDOT,INSVC,DISTRICT6, ,N,,-122.355443445227,47.6785264022286
1276329.95794375,265841.001156271,3457,516687,16,2086,583,-31,BKR-697,BKR,15TH AVE NE 1230 BLOCK E SIDE ( 560) 55 FT S/O NE 125TH ST                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,2007/12/05 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/08/17 00:00:00+00,E,SDOT,INSVC,DISTRICT5, ,N,,-122.312545541422,47.7191997661319
1275901.78527132,225312.669978768,3458,618779,16,13885,103,20,BKR-3431,BKR,E CHERRY ST 0160 BLOCK N SIDE (  91) 91 FT E/O 16TH AVE                                                                                                                                                                                                        ,SGL,2,N,GALV,UIMPRV,2014/10/28 00:00:00+00,SUFMT, , ,BKR-INVRU,GOOD,2015/10/01 00:00:00+00,N,SDOT,INSVC,DISTRICT3, ,N,,-122.311123162662,47.60808991335
1268354.2271836,234089.372899756,3459,574228,16,10083,122,31,BKR-3020,BKR,DEXTER AVE N 0140 BLOCK W SIDE ( 113) 185 FT S/O GALER ST                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,2011/10/10 00:00:00+00,SUFMT,GRY,BKR-CRMTL,BKR-RLRCK,GOOD,,W,SDOT,PLANNED,DISTRICT7, ,N,,-122.342411817664,47.6317450993377
